config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
60,train,108,547,466,163,8,1.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.7163969747407876
60,train,108,547,466,163,8,1.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.7163104261517153
60,train,108,547,466,163,8,1.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9556099028766559
61,train,126,418,97,768,8,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.5402578290028324
61,train,126,418,97,768,8,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.5402057405452474
61,train,126,418,97,768,8,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.998390000414233
62,train,108,42131,1207,344,4,2.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9994871136317033
62,train,108,42131,1207,344,4,2.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.999479029336719
62,train,108,42131,1207,344,4,2.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,4.756802071215649e-06
63,train,39,2756,393,90,8,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.0914003018360134
63,train,39,2756,393,90,8,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,6.776580071414624
63,train,39,2756,393,90,8,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9971650949311882
64,train,28,582,124,36,16,1.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.7588924402103119
64,train,28,582,124,36,16,1.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.7579481457125224
64,train,28,582,124,36,16,1.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,3.147526526635143
65,train,32,3914,635,845,32,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,3.0164904040712948
65,train,32,3914,635,845,32,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,0.17205032386077176
65,train,32,3914,635,845,32,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9999683969868003
66,train,102,20414,263,128,8,1.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.554341308719376
66,train,102,20414,263,128,8,1.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.554330974656251
